Condition,N_pairs,Safety,Efficiency,Equity,Composite
Nash Orchestration,200,0.813 (0.808-0.819),0.706 (0.701-0.711),0.746 (0.734-0.758),0.755 (0.751-0.760)
Compute-Matched Baseline,200,0.797 (0.790-0.803),0.684 (0.681-0.688),0.746 (0.735-0.757),0.742 (0.739-0.746)
